中文电影名,外文电影名,电影评分,评分人数,电影简介,电影详情
黑客帝国3：矩阵革命,The Matrix Revolutions,8.8,360741,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,导演: 拉娜·沃卓斯基 Lana Wachowski   莉莉·沃卓斯基 Lilly Wachowski... 2003 美国 动作 科幻
纵横四海,緃横四海,8.8,344768,香港浪漫主义警匪动作片的巅峰之作。,导演: 吴宇森 John Woo主演: 周润发 Yun-Fat Chow   张国荣 Leslie Cheung... 1991 中国香港 剧情 喜剧 动作 犯罪
达拉斯买家俱乐部,Dallas Buyers Club,8.8,376420,Jared Leto的腿比女人还美！,导演: 让-马克·瓦雷 Jean-Marc Vallée主演: 马修·麦康纳 Matthew McCon... 2013 美国 剧情 传记 同性
寄生虫,기생충,8.8,1145180,,导演: 奉俊昊 Joon-ho Bong主演: 宋康昊 Kang-ho Song   李善均 Seon-gyun... 2019 韩国 剧情 喜剧
头脑特工队,Inside Out,8.7,497095,愿我们都不用长大，每一座城堡都能永远存在。,导演: 彼特·道格特 Pete Docter   罗纳尔多·德尔·卡门 Ronaldo Del Carmen&amp;nb... 2015 美国 喜剧 动画 冒险
岁月神偷,歲月神偷,8.7,508552,岁月流逝，来日可追。,导演: 罗启锐 Alex Law主演: 吴君如 Sandra Ng   任达华 Simon Yam   钟绍... 2010 中国香港 中国大陆 剧情 家庭
心迷宫,缺失,8.7,417615,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,导演: 忻钰坤 Yukun Xin主演: 霍卫民 Weimin Huo   王笑天 Xiaotian Wang ... 2014 中国大陆 剧情 犯罪 悬疑
你的名字。,君の名は。,8.4,1157152,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,导演: 新海诚 Makoto Shinkai主演: 神木隆之介 Ryûnosuke Kamiki   上... 2016 日本 剧情 爱情 动画
记忆碎片,Memento,8.7,515768,一个针管引发的血案。,导演: 克里斯托弗·诺兰 Christopher Nolan主演: 盖·皮尔斯 Guy Pearce  ... 2000 美国 犯罪 剧情 悬疑 惊悚
忠犬八公物语,ハチ公物語,9.2,160278,养狗三日，便会对你终其一生。,导演: Seijirô Kôyama主演: 山本圭 Kei Yamamoto   井川比佐志 Hisa... 1987 日本 剧情
海街日记,海街diary,8.8,357208,是枝裕和的家庭习作。,导演: 是枝裕和 Hirokazu Koreeda主演: 绫濑遥 Haruka Ayase   长泽雅美 M... 2015 日本 剧情 家庭
荒蛮故事,Relatos salvajes,8.8,362023,始于荒诞，止于更荒诞。,导演: 达米安·斯兹弗隆 Damián Szifron主演: 达里奥·葛兰帝内提 Darío... 2014 阿根廷 西班牙 剧情 喜剧 犯罪
惊魂记,Psycho,9.0,216041,故事的反转与反转，分裂电影的始祖。,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock主演: 安东尼·博金斯 Antho... 1960 美国 悬疑 惊悚 恐怖
哈利·波特与火焰杯,Harry Potter and the Goblet of Fire,8.7,477852,,导演: 迈克·内威尔 Mike Newell主演: 丹尼尔·雷德克里夫 Daniel Radclif... 2005 英国 美国 悬疑 奇幻 冒险
爆裂鼓手,Whiplash,8.7,474535,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,导演: 达米恩·查泽雷 Damien Chazelle主演: 迈尔斯·特勒 Miles Teller  ... 2014 美国 剧情 音乐
真爱至上,Love Actually,8.6,608320,爱，是个动词。,导演: 理查德·柯蒂斯 Richard Curtis主演: 休·格兰特 Hugh Grant   柯林... 2003 英国 美国 法国 喜剧 剧情 爱情
贫民窟的百万富翁,Slumdog Millionaire,8.6,638966,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,导演: 丹尼·鲍尔 Danny Boyle   洛芙琳·坦丹 Loveleen Tandan主演: 戴夫... 2008 英国 剧情 爱情
东邪西毒,東邪西毒,8.6,494496,电影诗。,导演: 王家卫 Kar Wai Wong主演: 张国荣 Leslie Cheung   林青霞 Brigitte... 1994 中国香港 中国台湾 剧情 动作 爱情 武侠 古装
萤火虫之墓,火垂るの墓,8.7,356591,幸福是生生不息，却难以触及的远。,导演: 高畑勋 Isao Takahata主演: 辰己努   白石绫乃   志乃原良子 1988 日本 动画 剧情 战争
小偷家族,万引き家族,8.7,696561,我们组成了家。,导演: 是枝裕和 Hirokazu Koreeda主演: 中川雅也 Lily Franky   安藤樱 Sa... 2018 日本 剧情 犯罪 家庭
绿里奇迹,The Green Mile,8.9,255032,天使暂时离开。,导演: Frank Darabont主演: 汤姆·汉克斯 Tom Hanks   大卫·摩斯 David M... 1999 美国 犯罪 剧情 奇幻 悬疑
黑天鹅,Black Swan,8.6,694750,黑暗之美。,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky主演: 娜塔莉·波特曼 Natalie... 2010 美国 剧情 惊悚
无敌破坏王,Wreck-It Ralph,8.7,444889,迪士尼和皮克斯拿错剧本的产物。,导演: 瑞奇·莫尔 Rich Moore主演: 约翰·C·赖利 John C. Reilly   萨拉... 2012 美国 喜剧 动画 奇幻 冒险
九品芝麻官,缺失,8.6,514116,,导演: 王晶 Jing Wong主演: 周星驰 Stephen Chow   吴孟达 Man Tat Ng   ... 1994 中国香港 中国大陆 剧情 喜剧 古装
你看起来好像很好吃,おまえうまそうだな,8.9,284193,感情不分食草或者食肉。,导演: 藤森雅也 Masaya Fujimori主演: 山口胜平 Kappei Yamaguchi   爱河... 2010 日本 剧情 动画 儿童
爱在午夜降临前,Before Midnight,8.8,299523,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,导演: 理查德·林克莱特 Richard Linklater主演: 伊桑·霍克 Ethan Hawke ... 2013 美国 希腊 剧情 爱情
冰川时代,Ice Age,8.6,522538,松鼠才是角儿。,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha   克里斯·韦奇 Chris Wedge主演... 2002 美国 喜剧 动画 冒险
雨人,Rain Man,8.7,347256,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,导演: 巴瑞·莱文森 Barry Levinson主演: 达斯汀·霍夫曼 Dustin Hoffman ... 1988 美国 剧情
疯狂的石头,缺失,8.5,675581,中国版《两杆大烟枪》。,导演: 宁浩 Hao Ning主演: 郭涛 Tao Guo   刘桦 Hua Liu   连晋 Teddy Lin 2006 中国大陆 中国香港 喜剧 犯罪
恋恋笔记本,The Notebook,8.6,550868,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。,导演: 尼克·卡索维茨 Nick Cassavetes主演: 瑞恩·高斯林 Ryan Gosling  ... 2004 美国 剧情 爱情
恐怖游轮,Triangle,8.5,667427,不要企图在重复中寻找已经失去的爱。,导演: 克里斯托弗·史密斯 Christopher Smith主演: 梅利莎·乔治 Melissa ... 2009 英国 澳大利亚 剧情 悬疑 惊悚
雨中曲,""" Singin in the Rain""",9.1,174542,骨灰级歌舞片。,导演: 斯坦利·多南 Stanley Donen   吉恩·凯利 Gene Kelly主演: 吉恩·... 1952 美国 喜剧 歌舞 爱情
魔女宅急便,魔女の宅急便,8.7,384758,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,导演: 宫崎骏 Hayao Miyazaki主演: 高山南 Minami Takayama   佐久间玲 Re... 1989 日本 动画 奇幻 冒险
色，戒,缺失,8.5,592586,假戏真情，爱欲深海,导演: 李安 Ang Lee主演: 梁朝伟 Tony Leung Chiu Wai   汤唯 Wei Tang   ... 2007 中国台湾 中国大陆 美国 中国香港 剧情 爱情 情色
2001太空漫游,2001: A Space Odyssey,8.8,249269,现代科幻电影的开山之作，最伟大导演的最伟大影片。,导演: 斯坦利·库布里克 Stanley Kubrick主演: 凯尔·杜拉 Keir Dullea   ... 1968 英国 美国 科幻 惊悚 冒险
虎口脱险,La grande vadrouille,8.9,202940,永远看不腻的喜剧。,导演: 杰拉尔·乌里 Gérard Oury主演: 路易·德·菲耐斯 Louis de Funès... 1966 法国 英国 喜剧 战争
奇迹男孩,Wonder,8.6,480015,世界不完美，爱会有奇迹。,导演: 斯蒂芬·卓博斯基 Stephen Chbosky主演: 雅各布·特伦布莱 Jacob Tr... 2017 美国 中国香港 剧情 儿童 家庭
海边的曼彻斯特,Manchester by the Sea,8.6,406391,我们都有权利不与自己的过去和解。,导演: 肯尼斯·罗纳根 Kenneth Lonergan主演: 卡西·阿弗莱克 Casey Affle... 2016 美国 剧情 家庭
城市之光,City Lights,9.3,113660,永远的小人物，伟大的卓别林。,导演: Charles Chaplin主演: 查理·卓别林 Charles Chaplin   弗吉尼亚·... 1931 美国 喜剧 剧情 爱情
可可西里,缺失,8.8,249064,坚硬的信仰。,导演: 陆川 Chuan Lu主演: 多布杰 Duobujie   张磊 Lei Zhang   亓亮 Qi L... 2004 中国大陆 中国香港 剧情 犯罪
人工智能,Artificial Intelligence: AI,8.7,369036,对爱的执着，可以超越一切。,导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 海利·乔·奥斯蒙 Haley... 2001 美国 英国 剧情 科幻
初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,8.4,858277,黑小鸭速效美白记。,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn   华森·波克彭... 2010 泰国 剧情 喜剧 爱情
罗生门,羅生門,8.8,257332,人生的N种可能性。,导演: 黑泽明 Akira Kurosawa主演: 三船敏郎 Toshirô Mifune   京町子 ... 1950 日本 剧情 犯罪 悬疑
房间,Room,8.8,324927,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson主演: 布丽·拉尔森 Brie Larson... 2015 爱尔兰 加拿大 英国 美国 剧情 家庭
终结者2：审判日,Terminator 2: Judgment Day,8.7,291482,少见的超越首部的续集，动作片中的经典。,导演: 詹姆斯·卡梅隆 James Cameron主演: 阿诺·施瓦辛格 Arnold Schwarz... 1991 美国 法国 动作 科幻
大佛普拉斯,缺失,8.7,349492,人们可以登上月球，却永远无法探索人们内心的宇宙。,导演: 黄信尧 Hsin-yao Huang主演: 庄益增 Yizeng Zhuang   陈竹昇 Chu-sh... 2017 中国台湾 剧情 喜剧
二十二,缺失,8.7,245439,有一些东西不应该被遗忘。,导演: 郭柯 Ke Guo主演:  2015 中国大陆 纪录片
遗愿清单,The Bucket List,8.7,340609,用剩余不多的时间，去燃烧整个生命。,导演: 罗伯·莱纳 Rob Reiner主演: 杰克·尼科尔森 Jack Nicholson   摩根... 2007 美国 冒险 喜剧 剧情
牯岭街少年杀人事件,牯嶺街少年殺人事件,8.9,221361,弱者送给弱者的一刀。,导演: 杨德昌 Edward Yang主演: 张震 Chen Chang   杨静怡 Lisa Yang   张... 1991 中国台湾 剧情 犯罪
源代码,Source Code,8.5,691453,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,导演: 邓肯·琼斯 Duncan Jones主演: 杰克·吉伦哈尔 Jake Gyllenhaal   ... 2011 美国 加拿大 科幻 悬疑 惊悚
波西米亚狂想曲,Bohemian Rhapsody,8.7,487535,,导演: 布莱恩·辛格 Bryan Singer主演: 拉米·马雷克 Rami Malek   本·哈... 2018 英国 美国 剧情 传记 同性 音乐
魂断蓝桥,Waterloo Bridge,8.8,232408,中国式内在的美国电影。,导演: 茂文·勒鲁瓦 Mervyn LeRoy主演: 费雯·丽 Vivien Leigh   罗伯特·... 1940 美国 剧情 爱情 战争
青蛇,缺失,8.6,431773,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,导演: 徐克 Hark Tsui主演: 张曼玉 Maggie Cheung   王祖贤 Joey Wang   ... 1993 中国香港 中国大陆 剧情 爱情 奇幻 古装
新龙门客栈,新龍門客棧,8.6,370077,嬉笑怒骂，调风动月。,导演: 李惠民 Raymond Lee主演: 张曼玉 Maggie Cheung   林青霞 Brigitte ... 1992 中国香港 中国大陆 动作 爱情 武侠 古装
疯狂的麦克斯4：狂暴之路,Mad Max: Fury Road,8.6,437838,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,导演: 乔治·米勒 George Miller主演: 汤姆·哈迪 Tom Hardy   查理兹·塞... 2015 澳大利亚 美国 动作 科幻 冒险
无耻混蛋,Inglourious Basterds,8.6,398476,昆汀同学越来越变态了，比北野武还杜琪峰。,导演: Quentin Tarantino主演: 布拉德·皮特 Brad Pitt   梅拉尼·罗兰 M... 2009 德国 美国 剧情 犯罪
步履不停,歩いても 歩いても,8.8,226584,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,导演: 是枝裕和 Hirokazu Koreeda主演: 阿部宽 Hiroshi Abe   夏川结衣 Yu... 2008 日本 剧情 家庭
东京教父,東京ゴッドファーザーズ,9.0,155978,,导演: 今敏 Satoshi Kon主演: 江守彻 Toru Emori   梅垣义明 Yoshiaki Ume... 2003 日本 剧情 喜剧 动画
血钻,Blood Diamond,8.7,308383,每个美丽事物背后都是滴血的现实。,导演: 爱德华·兹威克 Edward Zwick主演: 莱昂纳多·迪卡普里奥 Leonardo ... 2006 美国 德国 英国 剧情 惊悚 冒险
无间道2,無間道II,8.6,357245,,导演: 刘伟强   麦兆辉主演: 陈冠希   余文乐   曾志伟 2003 中国香港 剧情 犯罪 惊悚
燃情岁月,Legends of the Fall,8.8,245384,传奇，不是每个人都可以拥有。,导演: 爱德华·兹威克 Edward Zwick主演: 布拉德·皮特 Brad Pitt   安东... 1994 美国 剧情 爱情 战争 西部
海洋,Océans,9.1,141534,大海啊，不全是水。,导演: 雅克·贝汉 Jacques Perrin   雅克·克鲁奥德 Jacques Cluzaud主演:... 2009 法国 瑞士 西班牙 美国 阿联酋 摩纳哥 纪录片
彗星来的那一夜,Coherence,8.5,442871,小成本大魅力。,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit主演: 艾米丽·芭尔多尼 Em... 2013 美国 英国 科幻 悬疑 惊悚
谍影重重2,The Bourne Supremacy,8.7,299107,谁说王家卫镜头很晃？,导演: 保罗·格林格拉斯 Paul Greengrass主演: 马特·达蒙 Matt Damon   ... 2004 美国 德国 动作 悬疑 惊悚
战争之王,Lord of War,8.7,297834,做一颗让别人需要你的棋子。,导演: 安德鲁·尼科尔 Andrew Niccol主演: 尼古拉斯·凯奇 Nicolas Cage  ... 2005 法国 德国 美国 剧情 犯罪
穿越时空的少女,時をかける少女,8.6,330704,爱上未来的你。,导演: 细田守 Mamoru Hosoda主演: 仲里依纱 Riisa Naka   石田卓也 Takuya... 2006 日本 剧情 爱情 科幻 动画
阿飞正传,阿飛正傳,8.5,419384,王家卫是一种风格，张国荣是一个代表。,导演: 王家卫 Kar Wai Wong主演: 张国荣 Leslie Cheung   张曼玉 Maggie C... 1990 中国香港 犯罪 剧情 爱情
千钧一发,Gattaca,8.8,224017,一部能引人思考的科幻励志片。,导演: 安德鲁·尼科尔 Andrew Niccol主演: 伊桑·霍克 Ethan Hawke   乌玛... 1997 美国 剧情 科幻 惊悚
地球上的星星,Taare Zameen Par,8.9,175691,天使保护事件始末。,导演: 阿米尔·汗 Aamir Khan主演: 达席尔·萨法瑞 Darsheel Safary   阿... 2007 印度 剧情 儿童 家庭
谍影重重,The Bourne Identity,8.6,357634,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,导演: 道格·里曼 Doug Liman主演: 马特·达蒙 Matt Damon   弗兰卡·波坦... 2002 美国 德国 捷克 动作 悬疑 惊悚
完美陌生人,Perfetti sconosciuti,8.5,457028,来啊，互相伤害啊！,导演: 保罗·格诺维瑟 Paolo Genovese主演: 马可·贾利尼 Marco Giallini ... 2016 意大利 剧情 喜剧
黑客帝国2：重装上阵,The Matrix Reloaded,8.6,320255,一个精彩的世界观正在缓缓建立。,导演: 拉娜·沃卓斯基 Lana Wachowski   莉莉·沃卓斯基 Lilly Wachowski... 2003 美国 动作 科幻
东京物语,東京物語,9.2,112885,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,导演: 小津安二郎 Yasujirô Ozu主演: 笠智众 Chishû Ryû   原节... 1953 日本 剧情 家庭
崖上的波妞,崖の上のポニョ,8.6,390701,,导演: 宫崎骏 Hayao Miyazaki主演: 奈良柚莉爱 Yuria Nara   土井洋辉 Hir... 2008 日本 动画 奇幻 冒险
香水,Perfume: The Story of a Murderer,8.5,471217,一个单凭体香达到高潮的男人。,导演: 汤姆·提克威 Tom Tykwer主演: 本·卫肖 Ben Whishaw   艾伦·瑞克... 2006 德国 法国 西班牙 美国 剧情 犯罪 奇幻
我爱你,그대를 사랑합니다,9.1,137920,你要相信，这世上真的有爱存在，不管在什么年纪,导演: 秋昌民 Chang-min Choo主演: 宋在河 Jae-ho Song   李顺载 Soon-jae... 2011 韩国 剧情 爱情
再次出发之纽约遇见你,Begin Again,8.6,357514,爱我就给我看你的播放列表。,导演: 约翰·卡尼 John Carney主演: 凯拉·奈特莉 Keira Knightley   马克... 2013 美国 喜剧 爱情 音乐
茶馆,缺失,9.5,74123,,导演: 谢添 Tian Xie主演: 于是之 Shizhi Yu   郑榕 Rong Zhen   蓝天野 T... 1982 中国大陆 剧情 历史
朗读者,The Reader,8.6,401745,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。,导演: 史蒂芬·戴德利 Stephen Daldry主演: 凯特·温丝莱特 Kate Winslet ... 2008 美国 德国 剧情 爱情
聚焦,Spotlight,8.8,237538,新闻人的理性求真。,导演: 托马斯·麦卡锡 Thomas McCarthy主演: 马克·鲁弗洛 Mark Ruffalo  ... 2015 美国 剧情 传记
驴得水,缺失,8.3,777902,过去的如果就让它过去了，未来只会越来越糟！,导演: 周申 Shen Zhou   刘露 Lu Liu主演: 任素汐 Suxi Ren   大力 Da Li ... 2016 中国大陆 剧情 喜剧
浪潮,Die Welle,8.7,231540,世界离独裁只有五天。,导演: 丹尼斯·甘塞尔 Dennis Gansel主演: 尤尔根·沃格尔 Jürgen Vogel ... 2008 德国 剧情 惊悚
猜火车,Trainspotting,8.5,367598,不可猜的青春迷笛。,导演: 丹尼·博伊尔 Danny Boyle主演: 伊万·麦克格雷格 Ewan McGregor   ... 1996 英国 剧情 犯罪
爱乐之城,La La Land,8.4,692407,,导演: 达米恩·查泽雷 Damien Chazelle主演: 瑞恩·高斯林 Ryan Gosling  ... 2016 美国 剧情 爱情 歌舞
小萝莉的猴神大叔,Bajrangi Bhaijaan,8.4,418917,宝莱坞的萝莉与大叔。,导演: 卡比尔·汗 Kabir Khan主演: 萨尔曼·汗 Salman Khan   哈莎莉·马... 2015 印度 剧情 喜剧 动作
背靠背，脸对脸,缺失,9.5,75577,,导演: 黄建新 Jianxin Huang   杨亚洲 Yazhou Yang主演: 牛振华 Zhenhua N... 1994 中国大陆 中国香港 剧情]]
