,用户ID,出生日期,性别
481,299196791,2014-03-31,0
482,306716492,2015-03-01,1
483,321506990,2013-02-13,0
484,324693962,2014-02-19,0
485,338773232,2012-08-07,1
486,347068613,2014-11-20,0
487,350099492,2008-06-22,0
488,352890947,2010-12-01,0
489,356049284,2009-07-15,0
490,358097309,2013-09-15,1
491,359601689,2011-12-15,0
492,363147332,2009-01-29,1
493,367656020,2006-11-13,1
494,369616040,2014-10-05,0
495,370606430,2013-06-04,0
496,373105196,2014-01-03,1
497,376448732,2006-03-07,1
498,377473718,2011-12-26,1
499,378871709,2012-02-23,1
500,381275366,2013-07-09,0
501,385135931,2014-11-04,0
502,388415192,2009-09-18,1
503,392508254,2009-08-09,0
504,394567091,2008-10-16,0
505,398312015,2014-06-23,1
506,404254046,2009-01-11,0
507,406935827,2013-12-30,1
508,408499766,2014-09-19,0
509,411194666,2014-07-17,0
510,414883979,2008-03-27,0
511,418692116,2014-06-02,1
512,425087423,2011-11-23,1
513,437556506,2011-09-28,0
514,441486929,2012-11-28,1
515,447609368,2011-11-15,1
516,466369304,2013-08-02,1
517,476002223,2012-08-17,0
518,486110123,2014-06-02,0
519,504804896,2010-02-20,0
520,506946641,2013-04-18,0
521,511889597,2011-11-06,1
522,525892484,2013-06-19,1
523,545936732,2006-08-10,0
524,552289829,2008-12-23,0
525,571159301,2011-07-20,1
526,593517038,2012-06-26,1
527,603123248,2013-11-21,0
528,606918860,2012-06-27,0
529,614946692,2014-06-11,1
530,631917779,2012-10-23,1
531,642755513,2013-10-26,0
532,644854097,2014-03-18,0
533,646222766,2010-02-28,0
534,648241169,2013-10-05,0
535,650723936,2014-10-06,0
536,653290859,2007-08-20,1
537,659749250,2012-10-15,0
538,664236959,2012-07-26,0
539,667774265,2013-10-10,0
540,672265151,2012-11-28,0
541,674451014,2011-01-15,0
542,675728690,2010-11-15,0
543,678827114,2013-01-19,0
544,685332320,2012-02-23,0
545,689783888,2014-03-04,0
546,692815952,2013-07-14,1
547,697241495,2010-05-17,0
548,702647816,2014-03-22,1
549,706851515,2007-08-17,0
550,711496874,2011-10-25,0
551,718858754,2011-10-15,1
552,722440556,2014-10-03,1
553,723449270,2010-10-03,0
554,726045779,2012-09-04,0
555,728844788,2014-05-27,0
556,733070564,2014-12-17,1
557,738243947,2014-05-22,1
558,743394056,2010-11-25,0
559,745559711,2013-02-17,1
560,748181531,2014-07-22,1
561,751654337,2008-09-27,1
562,757254614,2009-05-28,0
563,759253421,2014-02-27,0
564,760737575,2015-03-06,1
565,763368008,2014-08-30,1
566,767800373,2012-06-08,0
567,771449207,2014-06-22,0
568,775425752,2014-08-30,1
569,779743331,2013-09-12,1
570,783771062,2012-10-05,0
571,786904109,2013-04-22,1
572,789872417,2009-08-05,0
573,795355691,2011-07-09,0
574,797916383,2013-04-18,0
575,800173649,2013-07-20,0
576,807555311,2014-02-13,1
577,810566789,2014-03-18,1
578,812347802,2013-03-19,0
579,816914951,2014-09-28,0
580,818864954,2014-07-13,1
581,824754611,2012-11-08,0
582,829213583,2013-11-10,0
583,834999974,2014-11-30,1
584,841216238,2013-05-05,0
585,849873788,2014-05-19,0
586,854553317,2014-01-19,0
587,864297971,2013-03-09,0
588,867290915,2007-02-07,0
589,877873688,2013-06-10,0
590,882909923,2012-05-16,1
591,889878950,2013-09-01,0
592,894103508,2014-10-21,0
593,898630655,2012-11-02,1
594,910140800,2013-03-02,0
595,918918455,2008-10-22,0
596,929425316,2011-09-12,0
597,1020368066,2010-06-01,1
598,1023634940,2011-12-28,0
599,1033551143,2013-08-12,0
600,1040314082,2012-04-22,1
601,1045498739,2013-09-26,1
602,1050126413,2014-05-18,0
603,1055473418,2010-11-03,1
604,1062425612,2012-09-02,0
605,1069860359,2013-05-08,0
606,1076986436,2012-03-20,0
607,1081341647,2014-12-09,1
608,1091263211,2013-04-13,0
609,1108310267,2013-10-02,1
610,1124076737,2012-10-13,0
611,1134007073,2013-12-31,2
612,1589292035,2011-06-05,1
613,1630379975,2014-04-02,0
614,1641457379,2013-12-26,1
615,1656319652,2015-01-08,1
616,1671080225,2014-03-09,0
617,1684502624,2011-05-25,1
618,1709476961,2013-01-06,0
619,1743387086,2012-10-13,0
620,1771335722,2012-08-08,1
621,1793514014,2013-06-25,0
622,1822398971,2013-05-08,0
623,1844317769,2014-06-26,0
624,1850552006,2014-01-25,1
625,1869728066,2013-07-21,1
626,1887892514,2009-12-10,0
627,1924473311,2014-04-16,0
628,1942584506,2014-04-05,1
629,1978481429,2013-08-29,1
630,2020687907,2012-07-04,0
631,2067426839,2015-03-01,1
632,2104818212,2014-03-27,0
633,2176939646,2014-01-10,1
634,2214580556,2012-12-01,1
635,2262837380,2011-09-14,0
636,2391404843,2014-09-16,1
637,243385,2011-07-10,0
638,929851,2011-04-03,0
639,10405255,2012-02-14,0
640,11503702,2012-08-26,1
641,12631429,2013-04-08,1
642,13503298,2012-09-28,0
643,13848376,2014-08-21,1
644,14304064,2010-06-01,1
645,15108904,2012-12-14,1
646,16033918,2013-10-24,2
647,17289460,2010-12-11,1
648,18382012,2009-05-30,1
649,20451388,2012-01-29,1
650,20995405,2011-11-14,0
651,21647086,2009-03-14,0
652,21838963,2014-03-10,0
653,22733878,2009-01-16,1
654,23086954,2011-10-08,0
655,24079156,2010-12-31,1
656,25526539,2014-03-09,1
657,26188351,2010-03-29,0
658,27595882,2010-03-29,1
659,30438040,2003-10-17,0
660,31465015,2012-06-01,1
661,32418211,2009-09-29,1
662,32950783,2013-10-25,0
663,33580636,2011-01-02,0
664,35009662,2012-11-24,1
665,35832151,2009-04-01,1
666,36789289,2013-06-11,0
667,38130097,2014-01-27,1
668,39645715,2013-01-22,1
669,40216027,2011-01-24,0
670,42092374,2015-01-17,1
671,43270534,2014-04-10,1
672,44732791,2011-08-28,0
673,45002392,2013-12-12,2
674,45797590,2013-08-18,1
675,46239667,2011-09-16,1
676,47138383,2010-12-21,0
677,47836546,2012-09-01,0
678,48621253,2013-01-25,1
679,49008121,2011-03-10,0
680,49551046,2015-04-19,0
681,49997797,2009-08-16,1
682,50839954,2011-08-11,0
683,51587524,2009-02-02,1
684,52313002,2006-04-15,0
685,53224585,2011-06-03,0
686,53917099,2011-09-21,0
687,54366478,2010-12-10,1
688,55069180,2014-08-07,0
689,55522687,2013-12-15,1
690,56340436,2008-01-06,1
691,56819773,2008-08-12,1
692,57613642,2013-07-20,0
693,58386865,2013-03-19,1
694,58846126,2014-05-25,0
695,59265016,2013-02-15,1
696,60392074,2013-03-21,1
697,61588159,2013-08-13,0
698,62395309,2011-12-12,1
699,63157165,2011-08-09,1
700,64093162,2010-08-16,1
701,64581913,2013-08-27,2
702,65935243,2006-06-16,1
703,66738967,2004-11-09,0
704,67828543,2012-12-27,1
705,69106930,2010-06-01,0
706,69889555,2010-11-11,0
707,70231555,2012-02-23,0
708,71241931,2011-08-31,1
709,72341311,2014-04-06,0
710,72555454,2012-03-02,1
711,73927336,2011-10-15,1
712,75200815,2013-11-14,0
713,75758080,2012-03-02,0
714,76472818,2012-04-25,1
715,77164222,2015-01-29,1
716,78135508,2011-11-05,1
717,78923188,2002-12-05,0
718,80273467,2015-01-25,2
719,82413736,2011-09-20,0
720,83359531,2011-02-05,1
721,83942488,2010-06-21,1
722,84547855,2007-08-08,0
723,84890647,2013-02-28,1
724,85390387,2003-09-09,0
725,85942387,2012-12-26,0
726,86828233,2008-01-21,0
727,87526273,2010-11-01,0
728,88718614,2009-10-10,1
729,89781118,2013-01-12,1
730,90961714,2012-02-10,0
731,92590396,2012-07-17,1
732,95793571,2013-10-10,0
733,97496056,2011-11-17,0
734,99519637,2014-08-06,0
735,101254996,2013-07-17,2
736,102571912,2010-11-16,0
737,106735420,2013-07-09,1
738,107865814,2012-06-20,1
739,108344071,2010-07-04,1
740,109907629,2010-02-18,1
741,111794341,2010-09-02,1
742,112175464,2014-01-01,0
743,113093326,2012-11-26,1
744,115378612,2014-04-12,2
745,117002455,2011-04-25,0
746,118942006,2012-09-29,1
747,120971704,2011-06-24,0
748,124613323,2011-04-20,1
749,125840215,2011-05-02,0
750,127451512,2012-12-12,0
751,128693368,2010-07-20,0
752,129972565,2011-01-22,0
753,131802832,2012-04-05,1
754,133546192,2013-07-07,2
755,134536342,2012-05-21,0
756,136517419,2012-07-12,1
757,138548893,2014-06-27,0
758,139491685,2012-05-03,1
759,141263038,2011-11-28,1
760,141999400,2012-08-17,1
761,144253378,2013-10-21,2
762,152076304,2008-08-19,0
763,153843973,2008-02-24,1
764,156156175,2013-08-24,2
765,156942952,2013-12-27,0
766,161512438,2013-03-04,0
767,165283246,2013-11-04,1
768,168252385,2013-01-27,1
769,169596502,2015-02-18,1
770,173329093,2013-06-15,0
771,178032355,2013-05-10,1
772,183137017,2007-11-05,0
773,185178295,2014-08-13,1
774,188785717,2011-06-17,0
775,191994688,2013-03-19,1
776,195510961,2012-01-16,1
777,197411149,2010-04-29,0
778,198627397,2013-06-17,2
779,200849884,2006-01-13,1
780,204505282,2010-10-06,0
781,207508450,2012-02-20,1
782,217491793,2013-02-10,0
783,223475170,2005-12-18,1
784,240345601,2013-04-13,1
785,248962105,2013-07-26,0
786,253581310,2014-04-11,0
787,257521582,2014-05-05,1
788,260092225,2011-10-05,1
789,262823764,2012-09-13,1
790,264839494,2007-07-29,0
791,270377458,2012-04-02,0
792,274099870,2014-08-31,0
793,275987542,2014-01-03,1
794,276632530,2012-07-16,1
795,279185110,2007-08-16,1
796,280347691,2013-04-06,0
797,283250293,2013-06-13,1
798,290538796,2011-05-20,1
799,293128525,2013-03-06,1
800,296255521,2012-09-15,0
801,300031861,2014-01-05,0
802,306544399,2012-11-04,1
803,310635877,2013-03-21,0
804,321329368,2007-04-28,0
805,325249615,2011-01-03,0
806,330386953,2011-02-10,0
807,339355276,2013-08-31,1
808,345134125,2013-01-18,0
809,346883797,2012-03-28,0
810,350100046,2011-05-09,0
811,353221225,2011-08-13,0
812,355762297,2009-09-23,0
813,359840716,2009-01-20,0
814,363860560,2014-02-16,2
815,366240547,2009-11-06,0
816,369840982,2013-03-09,1
817,371636266,2013-12-04,0
818,376464964,2014-08-24,0
819,377550424,2011-06-20,1
820,381387022,2013-04-01,1
821,383735470,2011-08-19,0
822,385231417,2011-11-22,1
823,389326420,2013-07-17,0
824,393380275,2010-02-09,0
825,397468855,2014-08-04,1
826,401026519,2011-03-20,0
827,403168768,2013-12-17,0
828,406365709,2013-06-08,0
829,410823343,2011-03-26,1
830,411347539,2012-09-04,1
831,416284711,2013-03-24,0
832,423008263,2012-08-12,1
833,430319227,2011-06-15,0
834,441460285,2013-10-23,1
835,444309931,2010-08-10,0
836,445949008,2014-10-09,1
837,460727512,2009-07-22,0
838,468484747,2011-05-31,1
839,479631961,2011-07-25,0
840,488469409,2014-08-09,1
841,504846829,2013-10-24,1
842,509990590,2014-04-04,1
843,513441334,2011-01-05,1
844,517793335,2011-07-10,1
845,530044678,2008-01-01,0
846,549274183,2012-09-28,0
847,559247716,2012-10-20,1
848,576767101,2013-06-01,1
849,593315800,2012-09-23,1
850,604714141,2014-08-05,1
851,609791410,2014-02-20,1
852,628367479,2012-01-26,1
853,638926978,2015-01-08,1
854,643563115,2011-08-08,1
855,647746339,2013-02-07,1
856,649346959,2013-04-27,0
857,651493549,2011-11-08,1
858,655834471,2012-04-03,0
859,658919521,2013-10-14,0
860,664444918,2011-09-27,1
861,669302326,2010-04-06,0
862,672166297,2013-10-24,1
863,674478679,2014-02-01,1
864,675579268,2013-09-16,0
865,678340978,2014-08-25,1
866,682354444,2014-06-05,1
867,685810741,2013-03-22,1
868,687066529,2011-05-11,1
869,688809898,2012-08-04,0
870,691470382,2013-04-07,0
871,694874554,2012-11-22,0
872,697526248,2015-01-15,1
873,701712529,2015-04-02,1
874,703730908,2010-05-02,0
875,705498556,2012-10-04,0
876,709021222,2012-11-01,1
877,711528325,2010-11-14,1
878,713724745,2010-04-24,0
879,721803445,2008-08-08,0
880,725520721,2011-12-08,1
881,729828346,2013-01-07,1
882,735319921,2012-10-01,1
883,740015689,2013-09-26,0
884,746105695,2013-06-27,1
885,750087385,2015-02-15,0
886,752822677,2013-02-26,1
887,755743741,2014-07-17,0
888,761730076,2008-02-09,0
889,769346515,2014-05-02,1
890,771784864,2012-08-24,0
891,775584118,2012-10-23,0
892,779107498,2009-09-28,0
893,783992038,2008-07-23,1
894,785043910,2013-05-30,0
895,790148926,2014-08-27,1
896,794000662,2014-09-03,0
897,799287214,2012-08-13,0
898,809244853,2015-05-02,0
899,814243609,2013-01-10,1
900,818761936,2013-12-05,1
901,821089219,2014-06-15,0
902,826835722,2014-07-02,0
903,834678463,2014-06-10,1
904,838547338,2012-12-18,0
905,842436337,2011-10-16,1
906,854053048,2011-05-24,1
907,857559826,2013-10-13,0
908,867476098,2013-08-06,0
909,870525985,2014-09-03,0
910,877518892,2014-03-04,1
911,883771195,2012-07-11,1
912,891736786,2012-06-28,1
913,904942807,2010-11-05,0
914,917524288,2011-06-24,0
915,921137911,2014-07-14,1
916,924007702,2009-12-24,0
917,930683689,2013-10-13,2
918,1017989581,2014-08-04,1
919,1027969540,2013-02-28,0
920,1038480421,2013-02-08,1
921,1041892321,2012-08-01,0
922,1052158519,2012-03-29,0
923,1063363684,2014-11-14,0
924,1070284684,2011-12-29,0
925,1081311286,2013-10-31,0
926,1087643545,2013-06-29,1
927,1094274418,2013-08-03,0
928,1103802043,2013-03-01,1
929,1133628211,2012-09-03,0
930,1577585731,2013-03-21,0
931,1609674769,2014-07-03,2
932,1635254677,2013-01-23,1
933,1649930323,2010-10-04,0
934,1671493753,2014-12-22,1
935,1683328510,2013-08-17,1
936,1702276954,2013-08-21,1
937,1711109878,2012-08-23,0
938,1720825303,2014-07-21,0
939,1754594929,2014-08-26,0
940,1812586633,2015-03-09,0
941,1830529477,2013-06-17,0
942,1836568285,2011-11-23,0
943,1862594497,2010-01-05,0
944,1890948217,2013-09-17,0
945,1921509424,2013-05-31,1
946,1973092345,2003-03-03,0
947,1993235563,2014-07-09,1
948,2020957900,2014-04-30,0
949,2080304899,2010-07-13,0
950,2114469016,2014-04-16,0
951,2186831536,2014-05-19,1
952,2254611367,2011-10-31,0
